City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,san jose del cabo,23.0589,-109.6977,300.75,61,40,5.14,MX,1700782565
355,ujae,8.9322,165.7642,300.81,80,75,8.87,MH,1700782622
356,nantucket,41.2835,-70.0995,281.23,76,0,2.57,US,1700782623
357,chokwe,-24.5333,32.9833,299.11,50,0,3.1,MZ,1700782623
358,tambura,5.6,27.4667,295.37,87,99,1.14,SS,1700782624
359,hafar al-batin,28.4328,45.9708,285.47,87,75,3.09,SA,1700782624
360,kosiv,48.3107,25.0958,277.34,57,43,10.41,UA,1700782624
361,boa vista,2.8197,-60.6733,303.14,58,20,3.09,BR,1700782625
362,puerto lempira,15.2667,-83.7667,301.23,78,20,3.6,HN,1700782540
363,axim,4.8699,-2.2405,298.68,92,95,1.75,GH,1700782626
